2026-07-01 17:40:46,221 INFO materialize_choice_feature_matrix(TLA): wrote chunk 101 (cumulative=310000, via_cache=0, via_sim=310000)
2026-07-01 17:51:59,904 INFO materialize_choice_feature_matrix(TLA): wrote chunk 102 (cumulative=315000, via_cache=0, via_sim=315000)
2026-07-01 18:03:01,982 INFO materialize_choice_feature_matrix(TLA): wrote chunk 103 (cumulative=320000, via_cache=0, via_sim=320000)
2026-07-01 18:04:19,151 INFO materialize_choice_feature_matrix(TLA): wrote 320576 rows in 65 chunk(s) to C:\Users\basti\Documents\Mulligan_Coach\data\processed\choice_training\TLA\PremierDraft (via_cache=0, via_sim=320576, skipped_resume=200000, failed_sim=0, failed_build=0)
2026-07-01 18:04:19,192 INFO TLA: 320576 rows written (via_cache=0, via_sim=320576, skipped_player_filter=103789, skipped_resume=200000)
2026-07-01 18:04:19,192 INFO === TMT -> C:\Users\basti\Documents\Mulligan_Coach\data\processed\choice_training\TMT\PremierDraft ===
2026-07-01 18:04:19,194 WARNING materialize_choice_feature_matrix(TMT): cached_features_dir=None; every kept-hand row will be re-simulated (slow path)
2026-07-01 18:04:19,206 INFO materialize_choice_feature_matrix(TMT): 210 shrunk WRs, 210 z-score rows
2026-07-01 18:04:24,774 INFO _classify_and_iter_rows: cache_hits=0, sim_required=155006
2026-07-01 18:14:52,805 INFO materialize_choice_feature_matrix(TMT): wrote chunk 0 (cumulative=5000, via_cache=0, via_sim=5000)
2026-07-01 18:24:47,504 INFO materialize_choice_feature_matrix(TMT): wrote chunk 1 (cumulative=10000, via_cache=0, via_sim=10000)
2026-07-01 18:34:45,618 INFO materialize_choice_feature_matrix(TMT): wrote chunk 2 (cumulative=15000, via_cache=0, via_sim=15000)
2026-07-01 18:44:39,173 INFO materialize_choice_feature_matrix(TMT): wrote chunk 3 (cumulative=20000, via_cache=0, via_sim=20000)
2026-07-01 18:54:52,545 INFO materialize_choice_feature_matrix(TMT): wrote chunk 4 (cumulative=25000, via_cache=0, via_sim=25000)
2026-07-01 19:04:29,762 INFO materialize_choice_feature_matrix(TMT): wrote chunk 5 (cumulative=30000, via_cache=0, via_sim=30000)
2026-07-01 19:13:46,554 INFO materialize_choice_feature_matrix(TMT): wrote chunk 6 (cumulative=35000, via_cache=0, via_sim=35000)
2026-07-01 19:23:09,537 INFO materialize_choice_feature_matrix(TMT): wrote chunk 7 (cumulative=40000, via_cache=0, via_sim=40000)
2026-07-01 19:32:30,752 INFO materialize_choice_feature_matrix(TMT): wrote chunk 8 (cumulative=45000, via_cache=0, via_sim=45000)
2026-07-01 19:42:07,083 INFO materialize_choice_feature_matrix(TMT): wrote chunk 9 (cumulative=50000, via_cache=0, via_sim=50000)
2026-07-01 19:51:21,705 INFO materialize_choice_feature_matrix(TMT): wrote chunk 10 (cumulative=55000, via_cache=0, via_sim=55000)
2026-07-01 20:00:53,785 INFO materialize_choice_feature_matrix(TMT): wrote chunk 11 (cumulative=60000, via_cache=0, via_sim=60000)
2026-07-01 20:10:29,167 INFO materialize_choice_feature_matrix(TMT): wrote chunk 12 (cumulative=65000, via_cache=0, via_sim=65000)
2026-07-01 20:20:02,861 INFO materialize_choice_feature_matrix(TMT): wrote chunk 13 (cumulative=70000, via_cache=0, via_sim=70000)
2026-07-01 20:29:27,474 INFO materialize_choice_feature_matrix(TMT): wrote chunk 14 (cumulative=75000, via_cache=0, via_sim=75000)
2026-07-01 20:39:05,670 INFO materialize_choice_feature_matrix(TMT): wrote chunk 15 (cumulative=80000, via_cache=0, via_sim=80000)
2026-07-01 20:48:43,482 INFO materialize_choice_feature_matrix(TMT): wrote chunk 16 (cumulative=85000, via_cache=0, via_sim=85000)
2026-07-01 20:58:14,127 INFO materialize_choice_feature_matrix(TMT): wrote chunk 17 (cumulative=90000, via_cache=0, via_sim=90000)
2026-07-01 21:07:21,557 INFO materialize_choice_feature_matrix(TMT): wrote chunk 18 (cumulative=95000, via_cache=0, via_sim=95000)
2026-07-01 21:14:48,723 INFO materialize_choice_feature_matrix(TMT): wrote chunk 19 (cumulative=100000, via_cache=0, via_sim=100000)
2026-07-01 21:22:20,979 INFO materialize_choice_feature_matrix(TMT): wrote chunk 20 (cumulative=105000, via_cache=0, via_sim=105000)
2026-07-01 21:29:56,096 INFO materialize_choice_feature_matrix(TMT): wrote chunk 21 (cumulative=110000, via_cache=0, via_sim=110000)
2026-07-01 21:37:17,519 INFO materialize_choice_feature_matrix(TMT): wrote chunk 22 (cumulative=115000, via_cache=0, via_sim=115000)
2026-07-01 21:44:45,517 INFO materialize_choice_feature_matrix(TMT): wrote chunk 23 (cumulative=120000, via_cache=0, via_sim=120000)
2026-07-01 21:52:16,238 INFO materialize_choice_feature_matrix(TMT): wrote chunk 24 (cumulative=125000, via_cache=0, via_sim=125000)
2026-07-01 21:59:39,053 INFO materialize_choice_feature_matrix(TMT): wrote chunk 25 (cumulative=130000, via_cache=0, via_sim=130000)
2026-07-01 22:07:07,625 INFO materialize_choice_feature_matrix(TMT): wrote chunk 26 (cumulative=135000, via_cache=0, via_sim=135000)
2026-07-01 22:14:27,733 INFO materialize_choice_feature_matrix(TMT): wrote chunk 27 (cumulative=140000, via_cache=0, via_sim=140000)
2026-07-01 22:21:53,917 INFO materialize_choice_feature_matrix(TMT): wrote chunk 28 (cumulative=145000, via_cache=0, via_sim=145000)
2026-07-01 22:29:18,865 INFO materialize_choice_feature_matrix(TMT): wrote chunk 29 (cumulative=150000, via_cache=0, via_sim=150000)
2026-07-01 22:36:39,460 INFO materialize_choice_feature_matrix(TMT): wrote chunk 30 (cumulative=155000, via_cache=0, via_sim=155000)
2026-07-01 22:36:39,589 INFO materialize_choice_feature_matrix(TMT): wrote 155006 rows in 32 chunk(s) to C:\Users\basti\Documents\Mulligan_Coach\data\processed\choice_training\TMT\PremierDraft (via_cache=0, via_sim=155006, skipped_resume=0, failed_sim=0, failed_build=0)
2026-07-01 22:36:39,589 INFO TMT: 155006 rows written (via_cache=0, via_sim=155006, skipped_player_filter=22794, skipped_resume=0)
